id,Branch Name,Address,Manager,Phone,Region
1,Mangalpur Branch,"Balwari, Mangalpur",Pramila Timilsina,071-560094,West Region
2,Butwal Branch,"hivabasti tol, Tribhuwan-8, Dang, Nepal",Shashwat Nepal,1231231,West Region
3,Arghakhachi Branch,Pathini Chowk,Tikaram ,077-420759000,West Region
7,Sunwal Branch,Sunwal ,Rishi Babu,078-5704670000,West Region
10,Bhingri Branch,Bhingri Bazar,Tejmadi,08-4000890000,West Region
38,Birgunj Branch,Tejarath ,Jayamal ,051-532250000,Mid Region
183,Dodhara Chadani Branch,Mahakali ,Kamal Timilsina,9848448889,Far West Region
184,Suklafaata Branch,"Suklafaata Municipality, Kanchanpur",Jagat Thakulla,9848538588,Far West Region
154,Chaurjahari Branch,"Chaujahari, Bijayaswari-3, Rukum",Nirakar Aryal,088-401061,Far West Region
159,Hasuliya Branch,Front of Hasuliya Rural Municipality,Bhup Sarki,081-620445,Far West Region
